Time	Current (as voltage)	Voltage0	Voltage0
s	mV	mV	mV

0.0	20.75258644367809	12176.27491073336	-12134.769737846003
5.000250012500625e-05	0.6103701895199438	12197.027497177038	-12165.89861751152
0.0001000050002500125	31.128879665517136	12155.522324289681	-12145.146031067843
0.00015000750037501875	0.6103701895199438	12155.522324289681	-12176.27491073336
0.000200010000500025	10.98666341135899	12228.156376842555	-12155.522324289681
0.00025001250062503126	10.98666341135899	12155.522324289681	-12165.89861751152
0.0003000150007500375	20.75258644367809	12186.651203955198	-12165.89861751152
0.00035001750087504374	-9.765923032319101	12145.146031067843	-12145.146031067843
0.00040002000100005	-9.765923032319101	12197.027497177038	-12124.393444624164
0.00045002250112505623	10.98666341135899	12155.522324289681	-12145.146031067843
0.0005000250012500625	31.128879665517136	12186.651203955198	-12155.522324289681
0.0005500275013750688	-20.142216254158146	12155.522324289681	-12155.522324289681
0.000600030001500075	31.128879665517136	12165.89861751152	-12134.769737846003
0.0006500325016250812	10.98666341135899	12165.89861751152	-12134.769737846003
0.0007000350017500875	31.128879665517136	12186.651203955198	-12165.89861751152
0.0007500375018750937	-20.142216254158146	12186.651203955198	-12145.146031067843
0.0008000400020001	0.6103701895199438	12186.651203955198	-12124.393444624164
0.0008500425021251062	-30.51850947599719	12165.89861751152	-12155.522324289681
0.0009000450022501125	-20.142216254158146	12176.27491073336	-12134.769737846003
0.0009500475023751187	-9.765923032319101	12186.651203955198	-12155.522324289681
0.001000050002500125	31.128879665517136	12165.89861751152	-12155.522324289681
0.0010500525026251313	10.98666341135899	12186.651203955198	-12165.89861751152
0.0011000550027501375	20.75258644367809	12155.522324289681	-12176.27491073336
0.0011500575028751438	0.6103701895199438	12186.651203955198	-12176.27491073336
0.00120006000300015	-9.765923032319101	12176.27491073336	-12134.769737846003
0.0012500625031251563	20.75258644367809	12186.651203955198	-12134.769737846003
0.0013000650032501625	10.98666341135899	12186.651203955198	-12165.89861751152
